state,democrat,screen_name,id,name,location,description,url,created_at,verified,protected,followers_count,follow_request_sent,friends_count,favorites_count,listed_count
wisconsin,https://twitter.com/GovEvers,GovEvers,234896532,Governor Tony Evers,"Madison, Wisconsin","Husband to Kathy, lifelong educator, Euchre and bobblehead enthusiast, and 46th Governor of the State of Wisconsin.",https://t.co/JyH2JWfeyt,2011-01-06 21:05:10+00:00,True,False,102449,False,246,167,899
orgeon,https://twitter.com/TinaKotek,TinaKotek,2835931010,Tina Kotek,Oregon,Progressive Democrat. Candidate for Oregon Governor. Committed to building a future of opportunity and justice for all Oregonians.,https://t.co/U0kpZIDyUZ,2014-09-30 18:28:02+00:00,True,False,19556,False,339,1510,288
nevada,https://twitter.com/GovSisolak,GovSisolak,1080586433088258048,Governor Sisolak,"Nevada, USA",Governor of Nevada. Proud Dad and Husband. Standing up for Nevada families and Nevada priorities. #3MillionReasons,https://t.co/9iq0pinVZs,2019-01-02 22:07:36+00:00,True,False,100209,False,123,1987,603
arizona,https://twitter.com/katiehobbs,katiehobbs,26659619,Katie Hobbs,"Phoenix, AZ","Social worker, mom, wife, Arizona’s Secretary of State. Running for Governor of Arizona.",https://t.co/otdUvzR8kj,2009-03-26 01:55:21+00:00,True,False,133800,False,1576,6488,862
kansas,https://twitter.com/LauraKellyKS,LauraKellyKS,364864453,Laura Kelly,"Topeka, KS","48th Governor of Kansas, Wife, Mother, Champion for Kids.",https://t.co/ErZXA4bB3F,2011-08-30 13:39:23+00:00,True,False,54879,False,553,3634,390
new mexico,https://twitter.com/GovMLG,GovMLG,1070083706822438912,Governor Michelle Lujan Grisham,New Mexico,"Mother, grandmother, dog owner and New Mexican. Proud to serve as the 32nd governor of New Mexico.",https://t.co/37ICbzfNE0,2018-12-04 22:33:31+00:00,True,False,59643,False,199,3803,615
michigan,https://twitter.com/gretchenwhitmer,gretchenwhitmer,1093619068148559872,Gretchen Whitmer,"East Lansing, MI","Lifelong Michigander. Proud mom. Governor of Michigan. This is my personal account. Text 'IN' to 30348 for updates. For my official account, visit @GovWhitmer",https://t.co/d8qvpoEMeu,2019-02-07 21:14:39+00:00,True,False,206633,False,151,16,656
maine,https://twitter.com/GovJanetMills,GovJanetMills,1083795319027089408,Governor Janet Mills,"Augusta, ME","The official tweets of Maine’s 75th Governor, Janet T. Mills. Tweets will be archived.",https://t.co/8XzZHZbNgP,2019-01-11 18:38:34+00:00,True,False,23999,False,122,15,416
georgia,https://twitter.com/staceyabrams,staceyabrams,216065430,Stacey Abrams,Georgia,Democratic Nominee for Governor of Georgia. Small Business Owner. Tax Attorney. Nonprofit Founder. Bestselling Author. Join @TeamAbrams now.,https://t.co/KB1rUwIaan,2010-11-15 18:12:10+00:00,True,False,2915549,False,1929,6916,8787
minnesota,https://twitter.com/GovTimWalz,GovTimWalz,1064603540956565504,Governor Tim Walz,"Minnesota, USA","Dad, husband, teacher, coach, veteran. Governor of Minnesota. Working to move our state forward as #OneMinnesota.",https://t.co/SMHYS0wXOJ,2018-11-19 19:37:18+00:00,True,False,205789,False,960,2363,1052
