,Date Created,Number of Likes,Source of Tweet,Tweet
0,2022-10-28 13:08:13+00:00,9889,Twitter for iPhone,@WeAreCanProud First I’ve heard
1,2022-10-28 12:09:02+00:00,293353,Twitter for iPhone,🎶 let the good times roll 🎶
2,2022-10-28 11:41:12+00:00,77330,Twitter for iPhone,@catturd2 I will be digging in more today
3,2022-10-28 03:49:11+00:00,1474408,Twitter for iPhone,the bird is freed
4,2022-10-28 01:50:49+00:00,282579,Twitter for iPhone,Falcon rockets to orbit as seen from LA https://t.co/r8L2SbLC3p
5,2022-10-28 01:25:24+00:00,0,Twitter for iPhone,RT @SpaceX: Falcon 9’s first stage has landed on the Of Course I Still Love You droneship https://t.co/bIFlERy14S
6,2022-10-28 01:25:20+00:00,0,Twitter for iPhone,RT @SpaceX: Liftoff! https://t.co/B0Il6HsYBS
7,2022-10-28 01:25:16+00:00,0,Twitter for iPhone,RT @SpaceX: Watch Falcon 9 launch 53 Starlink satellites → https://t.co/8tB1syjlld https://t.co/94NWd45BqP
8,2022-10-27 21:45:47+00:00,8460,Twitter for iPhone,@Gfilche @Twitter 🤣
9,2022-10-27 16:28:38+00:00,0,Twitter for iPhone,"RT @WalterIsaacson: At Twitter headquarters’ coffee bar, ⁦@elonmusk⁩ https://t.co/vy5Cw7zttf"
10,2022-10-27 16:17:39+00:00,20170,Twitter for iPhone,@PeterSchiff 🤣 thanks
11,2022-10-27 13:19:25+00:00,47307,Twitter for iPhone,@ZubyMusic Absolutely
12,2022-10-27 13:08:00+00:00,667782,Twitter for iPhone,Dear Twitter Advertisers https://t.co/GMwHmInPAS
13,2022-10-27 02:32:48+00:00,24622,Twitter for iPhone,@BillyM2k 👻
14,2022-10-26 21:39:32+00:00,249974,Twitter for iPhone,Meeting a lot of cool people at Twitter today!
15,2022-10-26 18:45:58+00:00,1230740,Twitter for iPhone,Entering Twitter HQ – let that sink in! https://t.co/D68z4K2wq7
16,2022-10-26 17:18:30+00:00,4321,Twitter for iPhone,@dogeofficialceo @mtaibbi 🤣💪
17,2022-10-26 17:14:07+00:00,2939,Twitter for iPhone,@mtaibbi 🤣
18,2022-10-26 17:05:16+00:00,11793,Twitter for iPhone,@ARodTV Definitely closer to citizen journalism – local news orgs are under-appreciated &amp; should get way more prominence on Twitter
19,2022-10-26 15:42:50+00:00,3242,Twitter for iPhone,@sandyleevincent Nobody bats 1000 🤷‍♂️
20,2022-10-26 15:27:40+00:00,338123,Twitter for iPhone,A beautiful thing about Twitter is how it empowers citizen journalism – people are able to disseminate news without an establishment bias
21,2022-10-26 15:22:43+00:00,6168,Twitter for iPhone,@teslaownersSV I’m a big fan of citizen journalism!
22,2022-10-26 14:50:58+00:00,75146,Twitter for iPhone,“According to unnamed sources close to the matter who wish to remain anonymous” 🤣🤣
23,2022-10-26 14:48:22+00:00,114900,Twitter for iPhone,"“The New York Times has emerged as a new, chaotic actor in global politics. The paper’s interventions in some of th… https://t.co/8tYloh5duT"
24,2022-10-26 14:41:26+00:00,3676,Twitter for iPhone,@dontreadonmeow @nytimes 🤣🔥
25,2022-10-26 07:27:48+00:00,14746,Twitter for iPhone,@PPathole @Twitter Yes!
26,2022-10-26 06:32:58+00:00,3131,Twitter for iPhone,@westcoastbill 30% is a lot
27,2022-10-26 06:28:34+00:00,17894,Twitter for iPhone,@eldsjal Concerning
28,2022-10-25 23:26:39+00:00,47268,Twitter for iPhone,Works on any moving land object https://t.co/Xu4qKJW4D9
29,2022-10-25 13:54:37+00:00,5316,Twitter for iPhone,@chazman @lexfridman Fasting rocks
30,2022-10-25 13:24:27+00:00,11689,Twitter for iPhone,@VitalikButerin @balajis @zengjiajun_eth Had to do a double-take. This is the first non-fake Vitalik tweet I’ve seen in a while.
31,2022-10-25 09:16:17+00:00,3742,Twitter for iPhone,@dogeofficialceo @DirtyTesLa @rocobasilisk @SwipeWright 💯
32,2022-10-25 08:30:54+00:00,4859,Twitter for iPhone,@garyblack00 @SawyerMerritt One man’s hedge is another man’s shrub
33,2022-10-25 08:19:58+00:00,9467,Twitter for iPhone,@muskQu0tes Yup
34,2022-10-25 08:11:11+00:00,4804,Twitter for iPhone,@emollick True
35,2022-10-25 08:01:29+00:00,40761,Twitter for iPhone,@elon_wisdom Too much respect for authority inhibits innovation
36,2022-10-25 07:55:19+00:00,1598,Twitter for iPhone,@DirtyTesLa @rocobasilisk @SwipeWright 💪
37,2022-10-25 04:35:20+00:00,5328,Twitter for iPhone,@stevenmarkryan @EmmetPeppers @heydave7 @TwitterSpaces @YouTube 😉
38,2022-10-25 04:33:08+00:00,153603,Twitter for iPhone,What lesson took you the longest to unlearn?
39,2022-10-25 01:25:34+00:00,100348,Twitter for iPhone,διαλεκτική
40,2022-10-25 01:15:05+00:00,25989,Twitter for iPhone,"@SwipeWright Twitter should be as broadly inclusive as possible, serving as a fair forum for lively, even if occasi… https://t.co/uGIRkhX2Au"
41,2022-10-24 22:45:37+00:00,2293,Twitter for iPhone,@MuskUniversity Absolutely necessary
42,2022-10-24 21:39:38+00:00,2318,Twitter for iPhone,@DavidSacks @MarcBodnick !
43,2022-10-24 21:38:44+00:00,13326,Twitter for iPhone,@realchrisrufo @MaxBoot 🤣🤣
44,2022-10-24 20:49:20+00:00,9615,Twitter for iPhone,@MuskUniversity Important
45,2022-10-24 20:46:26+00:00,1597,Twitter for iPhone,@MuskUniversity Yup
46,2022-10-24 20:41:15+00:00,2510,Twitter for iPhone,@DavidSacks Exactly!
47,2022-10-24 20:40:14+00:00,12540,Twitter for iPhone,@SawyerMerritt 🤣
48,2022-10-24 18:45:00+00:00,26202,Twitter for iPhone,"@VinnyLingham Yeah, doesn’t make sense"
49,2022-10-24 18:09:30+00:00,0,Twitter for iPhone,RT @SpaceX: Starlink is now available in Jamaica → https://t.co/slZbTmHdml
50,2022-10-24 13:49:02+00:00,2669,Twitter for iPhone,@MuskUniversity Good thread
51,2022-10-24 13:42:48+00:00,1940,Twitter for iPhone,@RenataKonkoly @spideycyp_155 @SquawkCNBC @Kasparov63 I only play crazy 9’s
52,2022-10-24 13:39:48+00:00,3845,Twitter for iPhone,@MarcusHouse @LordofEa @kerrikgray @chicago_glenn @Tesla @teslaownersSV @dvorahfr @TonyadeVitti @SpaceX @SirineAti… https://t.co/IhGWe8AsKK
53,2022-10-24 13:35:53+00:00,5898,Twitter for iPhone,"@ChananBos @SquawkCNBC @Kasparov63 Yeah, I’m back to spare bedroom /couch surfing at friend’s houses in Silicon Val… https://t.co/XFrhrl0ReN"
54,2022-10-24 13:28:44+00:00,3709,Twitter for iPhone,"@spideycyp_155 @SquawkCNBC @Kasparov63 I did as a child, but found it to be too simple to be useful in real life: a… https://t.co/e8b4pxJp9n"
55,2022-10-24 13:19:56+00:00,8801,Twitter for iPhone,"@SquawkCNBC @Kasparov63 And I don’t even own a house, let alone a “mansion”, you douche"
56,2022-10-24 13:13:07+00:00,15644,Twitter for iPhone,"@SquawkCNBC @Kasparov63 While it’s true that Kasparov is almost as good at playing chess as my iPhone, he is otherwise an idiot"
57,2022-10-24 12:58:14+00:00,1687,Twitter for iPhone,@spideycyp_155 @Teslarati @Writer_01001101 @FedorovMykhailo Yes
58,2022-10-24 12:51:35+00:00,1556,Twitter for iPhone,@dogeofficialceo @gunsnrosesgirl3 @DolphinDroneDom 🤣
