,Date Created,Number of Likes,Source of Tweet,Tweet
54,2022-10-25 07:55:19+00:00,1610,Twitter for iPhone,b'@DirtyTesLa @rocobasilisk @SwipeWright '
55,2022-10-25 04:35:20+00:00,5419,Twitter for iPhone,b'@stevenmarkryan @EmmetPeppers @heydave7 @TwitterSpaces @YouTube '
56,2022-10-25 04:33:08+00:00,159059,Twitter for iPhone,b'What lesson took you the longest to unlearn?'
57,2022-10-25 01:25:34+00:00,103084,Twitter for iPhone,b''
58,2022-10-25 01:15:05+00:00,26104,Twitter for iPhone,"b'@SwipeWright Twitter should be as broadly inclusive as possible, serving as a fair forum for lively, even if occasi https://t.co/uGIRkhX2Au'"
59,2022-10-24 22:45:37+00:00,2337,Twitter for iPhone,b'@MuskUniversity Absolutely necessary'
60,2022-10-24 21:39:38+00:00,2361,Twitter for iPhone,b'@DavidSacks @MarcBodnick !'
61,2022-10-24 21:38:44+00:00,13404,Twitter for iPhone,b'@realchrisrufo @MaxBoot '
62,2022-10-24 20:49:20+00:00,9647,Twitter for iPhone,b'@MuskUniversity Important'
63,2022-10-24 20:46:26+00:00,1633,Twitter for iPhone,b'@MuskUniversity Yup'
64,2022-10-24 20:41:15+00:00,2545,Twitter for iPhone,b'@DavidSacks Exactly!'
65,2022-10-24 20:40:14+00:00,12563,Twitter for iPhone,b'@SawyerMerritt '
66,2022-10-24 18:45:00+00:00,26265,Twitter for iPhone,"b'@VinnyLingham Yeah, doesnt make sense'"
67,2022-10-24 18:09:30+00:00,0,Twitter for iPhone,b'RT @SpaceX: Starlink is now available in Jamaica  https://t.co/slZbTmHdml'
68,2022-10-24 13:49:02+00:00,2692,Twitter for iPhone,b'@MuskUniversity Good thread'
69,2022-10-24 13:42:48+00:00,1971,Twitter for iPhone,b'@RenataKonkoly @spideycyp_155 @SquawkCNBC @Kasparov63 I only play crazy 9s'
70,2022-10-24 13:39:48+00:00,3877,Twitter for iPhone,b'@MarcusHouse @LordofEa @kerrikgray @chicago_glenn @Tesla @teslaownersSV @dvorahfr @TonyadeVitti @SpaceX @SirineAti https://t.co/IhGWe8AsKK'
71,2022-10-24 13:35:53+00:00,5960,Twitter for iPhone,"b'@ChananBos @SquawkCNBC @Kasparov63 Yeah, Im back to spare bedroom /couch surfing at friends houses in Silicon Val https://t.co/XFrhrl0ReN'"
72,2022-10-24 13:28:44+00:00,3728,Twitter for iPhone,"b'@spideycyp_155 @SquawkCNBC @Kasparov63 I did as a child, but found it to be too simple to be useful in real life: a https://t.co/e8b4pxJp9n'"
73,2022-10-24 13:19:56+00:00,8809,Twitter for iPhone,"b'@SquawkCNBC @Kasparov63 And I dont even own a house, let alone a mansion, you douche'"
74,2022-10-24 13:13:07+00:00,15675,Twitter for iPhone,"b'@SquawkCNBC @Kasparov63 While its true that Kasparov is almost as good at playing chess as my iPhone, he is otherwise an idiot'"
75,2022-10-24 12:58:14+00:00,1712,Twitter for iPhone,b'@spideycyp_155 @Teslarati @Writer_01001101 @FedorovMykhailo Yes'
76,2022-10-24 12:51:35+00:00,1582,Twitter for iPhone,b'@dogeofficialceo @gunsnrosesgirl3 @DolphinDroneDom '
77,2022-10-24 12:48:28+00:00,47261,Twitter for iPhone,b'@gunsnrosesgirl3 @DolphinDroneDom How exciting to be alive at the same time as the largest animal ever! \n\nWild that https://t.co/xF1OLu9iZY'
78,2022-10-24 05:39:47+00:00,5222,Twitter for iPhone,b'@FedorovMykhailo @Teslarati @Writer_01001101 Youre most welcome'
79,2022-10-24 02:37:00+00:00,11690,Twitter for iPhone,"b'@Teslarati @Writer_01001101 Before DoD even came back with an answer, I told @FedorovMykhailo that SpaceX would not https://t.co/zYDRAR6mXF'"
80,2022-10-23 23:02:25+00:00,0,Twitter for iPhone,b'RT @SpaceX: Falcon Heavy in the hangar at Launch Complex 39A https://t.co/Ul1Ti8e8qH'
81,2022-10-23 22:36:41+00:00,10297,Twitter for iPhone,b'@LordofEa @kerrikgray @chicago_glenn @Tesla @teslaownersSV @dvorahfr @TonyadeVitti @SpaceX @SirineAti Absolutely!'
82,2022-10-23 16:58:01+00:00,10888,Twitter for iPhone,b'@SKMorefield Interesting'
83,2022-10-23 13:31:21+00:00,36044,Twitter for iPhone,b'@pcgamer Great game'
84,2022-10-23 13:29:48+00:00,59796,Twitter for iPhone,"b'Maybe it was a social media algorithm, not even people'"
85,2022-10-23 13:26:21+00:00,120385,Twitter for iPhone,b'Think about who might have decided The Current Thing before accepting it'
86,2022-10-23 13:21:51+00:00,122218,Twitter for iPhone,b'Who decides The Current Thing?\nReal question. I dont know.'
87,2022-10-23 13:10:44+00:00,17253,Twitter for iPhone,b'@andst7 Exactly. WaPo are such hypocrites.'
88,2022-10-23 12:19:22+00:00,65173,Twitter for iPhone,b'Neuralink show &amp; tell now on Nov 30'
89,2022-10-23 12:11:12+00:00,11636,Twitter for iPhone,b'@muskQu0tes @SpaceX Had to be done'
90,2022-10-23 01:41:03+00:00,10989,Twitter for iPhone,b'@Gfilche @MartinViecha Weve come a long way'
91,2022-10-23 00:29:28+00:00,216669,Twitter for iPhone,b'i know\n|nothing|\nis forever'
92,2022-10-22 21:25:50+00:00,4078,Twitter for iPhone,b'@BillyM2k @sakitechonline @DavidSacks '
93,2022-10-22 21:04:27+00:00,0,Twitter for iPhone,b'RT @historyinmemes: How the borders have changed over time https://t.co/Rs8RmTpRw1'
94,2022-10-22 20:24:41+00:00,36921,Twitter for iPhone,b'@michaelmalice @washingtonpost Good point '
95,2022-10-22 19:54:11+00:00,19425,Twitter for iPhone,b'@MuskUniversity This needs to change. Manufacturing is awesome!'
96,2022-10-22 17:24:03+00:00,23194,Twitter for iPhone,b'@muskQu0tes It will happen'
97,2022-10-22 16:00:09+00:00,11634,Twitter for iPhone,b'@DavidSacks @TheAtlantic @davidfrum @EliotACohen Hear! Hear!'
98,2022-10-22 15:06:32+00:00,24518,Twitter for iPhone,b'@ruthbenghiat Why are you perpetuating propaganda concocted by the oil &amp; gas industry to distract you from the 6 tr https://t.co/9UEjbHqqAb'
99,2022-10-22 07:01:37+00:00,1709,Twitter for iPhone,b'@xuanyiman @stillgray @DavidSacks '
