,screen_name,id,name,created_at,description,location,protected,profile_image_url,followers_count,following_count,tweet_count,listed_count,url,verified
0,michelsforgov,1514274154274512901,Tim Michels,2022-04-13T16:08:00.000Z,"Army Veteran. Successful Businessman. Outsider.

Tim Michels is running for governor to get Wisconsin back on the right track.

Join the team!
https://t.co/lHKqQnW72j",Wisconsin,False,https://pbs.twimg.com/profile_images/1537229738892304384/c_fOIcaW_normal.jpg,11838,165,1009,90,https://t.co/6hqLqdIXZh,True
1,ChristineDrazan,965763444627550210,Christine Drazan,2018-02-20T01:42:02.000Z,"Republican candidate for governor. I want to fix our schools, keep our communities safe, and make Oregon more affordable. Ready to lead #OnDay1.","Oregon, USA",False,https://pbs.twimg.com/profile_images/1569834457791856640/ndOE1hqb_normal.jpg,18765,345,1124,105,https://t.co/NXGQ3ZaQWN,True
2,JoeLombardoNV,1389345377137176579,Joe Lombardo,2021-05-03T22:25:37.000Z,Army Veteran. Law Enforcement Officer of 34 years. Current Sheriff of Clark County. Running for Governor of Nevada to take back our state!,"Nevada, USA",False,https://pbs.twimg.com/profile_images/1408112082046926854/uE1Xfxoj_normal.jpg,8113,35,957,74,https://t.co/SLKRLjxdld,True
3,KariLake,1082197856,Kari Lake,2013-01-12T07:47:51.000Z,Official Twitter Account for Trump-Endorsed Candidate for Arizona Governor. Text KARI to 70789. Find me on TRUTH Social at karilake & FB at TheKariLake.,Iowa & Arizona,False,https://pbs.twimg.com/profile_images/1560073130822885378/55oLUgB0_normal.jpg,574295,981,24319,1118,https://t.co/EmzgORJKeQ,True
4,DerekSchmidtKS,161138443,Derek Schmidt,2010-06-30T02:39:27.000Z,Trusted Leader. Proven Winner. Kansas Conservative. Currently serving as our state’s 44th Attorney General. Running for Governor in 2022.,,False,https://pbs.twimg.com/profile_images/1549525083122814976/5YL9qHkP_normal.jpg,4880,17,2130,62,https://t.co/ZYJ5mUrVYw,True
5,MarkRonchettiNM,246064793,Mark Ronchetti,2011-02-02T01:51:38.000Z,Blessed by God with three wonderful girls in my life. Walk humbly but act decisively. Candidate for Governor of NM.,New Mexico,False,https://pbs.twimg.com/profile_images/1334173255003942913/VDu0g816_normal.jpg,21252,2017,15831,253,https://t.co/JvkwcxXYSb,True
6,TudorDixon,994197651406106624,Tudor Dixon,2018-05-09T12:49:26.000Z,"Worked in steel manufacturing, mom of four girls, breast cancer survivor, Granddaughter of Whitmer nursing home victim & GOP Nominee for Governor of Michigan.","Michigan, USA",False,https://pbs.twimg.com/profile_images/1458059358764474368/JI1F_95c_normal.jpg,175665,601,2142,341,https://t.co/JfgQWv1oO9,True
7,PaulLePage2022,75563774,Paul LePage,2009-09-19T14:47:06.000Z,"74th Governor of Maine, husband to Ann, job creator.  Product of the American Dream. Passionate about Maine's future. Candidate for Maine Governor 2022.",Maine,False,https://pbs.twimg.com/profile_images/1410269910849175567/oMV0_r-a_normal.jpg,4490,595,605,109,https://t.co/4JpYaEVCJr,True
8,BrianKempGA,47437206,Brian Kemp,2009-06-15T20:36:14.000Z,Georgia's 83rd Governor,"Athens, GA",False,https://pbs.twimg.com/profile_images/1582853165011042307/1MjwwhnC_normal.jpg,140147,1896,9437,877,https://t.co/DNllYKHKIJ,True
9,drscottjensen,4074051493,Scott Jensen,2015-10-31T00:16:23.000Z,"Running to be the next Governor of Minnesota. Dad, husband, long-time family physician, and former Minnesota State Senator for Carver County.","Chaska, MN",False,https://pbs.twimg.com/profile_images/1495519869902757889/OaSKR3RH_normal.jpg,95176,506,3836,401,https://t.co/ILQVJAQlVN,True
